epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3571,1.95492,2.87736,2.78324,0.1471,0.2614,0.43002,0.23724,0.1129,1.59196,3.80391,2.64635,0.01254,0.00051677,0.00051677,0.00051677
2,48.8642,1.59204,2.19122,2.32777,0.02215,0.41793,0.49381,0.45872,0.21997,1.51129,3.37867,2.37982,0.02364,0.00100862,0.00100862,0.00100862
3,72.0441,1.47355,1.90067,2.16363,0.0286,0.54997,0.53722,0.55454,0.32172,1.37569,2.44689,2.21329,0.03214,0.00145822,0.00145822,0.00145822
4,94.3859,1.41988,1.78581,2.06538,0.02438,0.59977,0.63151,0.63073,0.39183,1.25206,1.78846,2.1177,0.02322,0.00146896,0.00146896,0.00146896
5,116.811,1.33742,1.58305,1.97073,0.02264,0.61592,0.65767,0.63391,0.38646,1.29008,1.60978,2.06563,0.01555,0.00140295,0.00140295,0.00140295
6,139.507,1.27959,1.55157,1.89293,0.01927,0.60296,0.72585,0.74304,0.47452,1.17574,1.43871,1.9063,0.01237,0.00133693,0.00133693,0.00133693
7,162.883,1.23206,1.46984,1.82478,0.01698,0.47459,0.66057,0.58897,0.36803,1.30168,1.66918,2.12698,0.00589,0.00127092,0.00127092,0.00127092
8,186.002,1.20578,1.41729,1.81708,0.01398,0.73719,0.62279,0.75234,0.50329,1.1261,1.35898,1.91419,0.00482,0.00120491,0.00120491,0.00120491
9,208.906,1.13181,1.33852,1.79754,0.01328,0.58574,0.6937,0.66613,0.41176,1.22727,1.38891,2.03977,0.00684,0.00113889,0.00113889,0.00113889
10,231.097,1.16703,1.30835,1.79089,0.01402,0.68924,0.7023,0.72813,0.45619,1.16007,1.30724,1.9494,0.00945,0.00107288,0.00107288,0.00107288
11,253.417,1.08741,1.18607,1.73271,0.01283,0.71547,0.65727,0.73297,0.49356,1.10473,1.15764,1.88745,0.01192,0.00100687,0.00100687,0.00100687
12,275.514,1.09007,1.17384,1.71649,0.01166,0.77827,0.68143,0.78088,0.52853,1.06764,1.14493,1.8371,0.0073,0.000940855,0.000940855,0.000940855
13,298.527,1.07074,1.17639,1.70178,0.01086,0.70965,0.71501,0.73632,0.47085,1.11369,1.17839,1.88443,0.00431,0.000874842,0.000874842,0.000874842
14,321.967,1.03558,1.11749,1.66541,0.01163,0.71159,0.69432,0.71965,0.47492,1.13452,1.21645,1.92544,0.01131,0.000808828,0.000808828,0.000808828
15,344.474,1.01558,1.05517,1.63568,0.01118,0.70043,0.76681,0.74208,0.49221,1.0614,1.05236,1.86503,0.00936,0.000742815,0.000742815,0.000742815
16,366.487,0.95448,1.03753,1.72096,0.01139,0.70602,0.81866,0.75673,0.48963,1.05055,1.0978,1.86654,0.01163,0.000676802,0.000676802,0.000676802
17,388.073,0.87119,0.94322,1.64383,0.00953,0.69728,0.75876,0.71719,0.49172,1.03237,1.08063,1.81769,0.00804,0.000610789,0.000610789,0.000610789
18,409.645,0.88585,0.91899,1.62538,0.00971,0.73558,0.68827,0.75244,0.51553,1.01441,1.17658,1.80811,0.01069,0.000544776,0.000544776,0.000544776
19,430.818,0.81523,0.83265,1.55909,0.00679,0.78602,0.72698,0.79456,0.54311,1.02344,1.01115,1.79995,0.00729,0.000478762,0.000478762,0.000478762
20,452.446,0.81662,0.82684,1.59485,0.00689,0.71433,0.76295,0.76777,0.52336,1.00701,1.0954,1.81216,0.00534,0.000412749,0.000412749,0.000412749
21,473.442,0.79358,0.75926,1.54989,0.00719,0.86459,0.72956,0.84889,0.58828,0.97855,0.92924,1.79606,0.00419,0.000346736,0.000346736,0.000346736
22,495.181,0.78445,0.74279,1.53899,0.00613,0.78274,0.75013,0.80013,0.56719,0.99833,0.97561,1.78359,0.00478,0.000280723,0.000280723,0.000280723
23,516.629,0.7558,0.71311,1.52122,0.00608,0.70825,0.8094,0.81259,0.56932,0.98892,0.95596,1.78757,0.00624,0.00021471,0.00021471,0.00021471
24,538.762,0.7388,0.69291,1.49193,0.00865,0.74577,0.76351,0.80657,0.55542,0.99496,0.98304,1.80263,0.0066,0.000148696,0.000148696,0.000148696
25,560.271,0.75705,0.69492,1.50896,0.00724,0.76704,0.76679,0.82196,0.57372,0.98532,0.96057,1.78666,0.00611,8.26832e-05,8.26832e-05,8.26832e-05
