epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,250.401,1.41557,2.07452,1.98453,0.06397,0.84962,0.45935,0.50199,0.34805,1.09028,1.21844,1.71207,0.00943,0.000474158,0.000474158,0.000474158
2,477.025,1.1582,1.22985,1.69411,0.0067,0.88658,0.48768,0.54119,0.39077,1.01895,1.03903,1.65128,0.00516,0.000912852,0.000912852,0.000912852
3,699.16,1.09153,1.08686,1.64991,0.00483,0.89791,0.51958,0.57635,0.4156,1.02214,0.97599,1.67129,0.00547,0.00131382,0.00131382,0.00131382
4,922.112,1.05825,1.00449,1.63173,0.0035,0.89368,0.52974,0.57843,0.42845,0.9322,0.95058,1.63362,0.0048,0.00125923,0.00125923,0.00125923
5,1183.07,1.02072,0.94101,1.59836,0.00315,0.90036,0.54423,0.58046,0.41471,0.99544,0.88068,1.65479,0.00443,0.00120265,0.00120265,0.00120265
6,1387.23,1.01048,0.91806,1.59799,0.00271,0.90766,0.53436,0.57105,0.43615,0.91479,0.83582,1.57244,0.0023,0.00114606,0.00114606,0.00114606
7,1625.65,0.99266,0.88982,1.59293,0.00267,0.92385,0.54858,0.59656,0.44754,0.91689,0.79351,1.5978,0.00265,0.00108947,0.00108947,0.00108947
8,1884.11,0.98287,0.87666,1.58364,0.00244,0.91732,0.55938,0.59806,0.45477,0.87514,0.79138,1.59209,0.00211,0.00103288,0.00103288,0.00103288
9,2083.16,0.96376,0.84301,1.56937,0.00224,0.91864,0.56012,0.60251,0.45121,0.90728,0.79002,1.61002,0.00186,0.000976293,0.000976293,0.000976293
10,2327.67,0.9547,0.82902,1.55352,0.00225,0.93303,0.56496,0.60433,0.45405,0.9143,0.73261,1.56691,0.00212,0.000919704,0.000919704,0.000919704
11,2527.55,0.9477,0.80943,1.55423,0.00219,0.91249,0.56115,0.6051,0.47142,0.84783,0.74213,1.56146,0.00193,0.000863116,0.000863116,0.000863116
12,2724.58,0.93105,0.79062,1.53943,0.00215,0.93588,0.5638,0.61007,0.46583,0.86732,0.72433,1.58888,0.00236,0.000806528,0.000806528,0.000806528
13,2925.09,0.91785,0.77579,1.53493,0.00217,0.93291,0.56565,0.61279,0.46603,0.86914,0.70755,1.5812,0.00253,0.000749939,0.000749939,0.000749939
14,3120.59,0.91135,0.77573,1.52552,0.0021,0.93062,0.56321,0.60849,0.46352,0.86295,0.71534,1.55278,0.00253,0.000693351,0.000693351,0.000693351
15,3308.64,0.91235,0.7605,1.52766,0.00204,0.92818,0.57404,0.61286,0.47075,0.84999,0.68441,1.54101,0.00229,0.000636762,0.000636762,0.000636762
16,3466.2,0.85606,0.66153,1.51792,0.00204,0.92631,0.57291,0.60835,0.46955,0.84425,0.67773,1.54009,0.00177,0.000580174,0.000580174,0.000580174
17,3621.47,0.85007,0.63773,1.51829,0.00198,0.9313,0.56492,0.60616,0.4711,0.8291,0.67937,1.53246,0.00226,0.000523586,0.000523586,0.000523586
18,3798.45,0.84083,0.63258,1.51217,0.00198,0.93243,0.57613,0.61097,0.46731,0.85583,0.68374,1.54682,0.00158,0.000466997,0.000466997,0.000466997
19,3963.27,0.8367,0.61964,1.50643,0.00188,0.93402,0.57297,0.61043,0.46764,0.85269,0.68021,1.5393,0.00178,0.000410409,0.000410409,0.000410409
20,4115.28,0.8246,0.6179,1.50422,0.00185,0.93246,0.5757,0.61363,0.47456,0.84733,0.65976,1.53667,0.00184,0.00035382,0.00035382,0.00035382
21,4266.92,0.81877,0.60555,1.49498,0.00196,0.93764,0.57988,0.61387,0.47883,0.8026,0.64054,1.52419,0.00165,0.000297232,0.000297232,0.000297232
22,4416.99,0.81685,0.58874,1.50046,0.0018,0.93871,0.57425,0.61618,0.47064,0.84589,0.63986,1.54184,0.00165,0.000240644,0.000240644,0.000240644
23,4568.09,0.80375,0.58081,1.48278,0.00188,0.93762,0.57947,0.61353,0.47347,0.82281,0.64521,1.53087,0.0018,0.000184055,0.000184055,0.000184055
24,4720.11,0.79762,0.57423,1.47741,0.00185,0.60469,0.58031,0.61778,0.47915,0.81043,0.63303,1.5245,0.00173,0.000127467,0.000127467,0.000127467
25,4875.07,0.79215,0.56619,1.4795,0.0019,0.93645,0.58328,0.61701,0.47863,0.81793,0.63098,1.52175,0.00166,7.08784e-05,7.08784e-05,7.08784e-05
